steps|precision|actual value|calculated value
256|72729366015.77391|2441362.2860257262|2372676.0714412974
256|72729366015.77391|2746159.134614182|2668234.3386379047
256|72729366015.77391|3089008.9663858186|3000609.552527109
256|72729366015.77391|3474662.583522954|3374387.9071638985
256|72729366015.77391|3908463.911781071|3794726.8872120706
256|72729366015.77391|4396424.050209159|4267426.432172283
256|72729366015.77391|4945304.565758259|4799008.965358334
256|72729366015.77391|5562711.186974982|5396809.391880776
256|72729366015.77391|6257199.195075009|6069076.3074520575
256|72729366015.77391|7038391.972779807|6825085.814516869
256|72729366015.77391|7917114.353624292|7675269.516170371
256|72729366015.77391|8905542.619530236|8631358.453955404
256|72729366015.77391|10017373.225132482|9706544.975627728
256|72729366015.77391|11268012.586836958|10915664.766379695
256|72729366015.77391|12674790.566480305|12275401.555233762
256|72729366015.77391|14257200.607791694|13804517.321194334
256|72729366015.77391|16037169.853180267|15524111.17559847
256|72729366015.77391|18039362.98380304|17457910.492787123
256|72729366015.77391|20291523.99316451|19632598.306188487
256|72729366015.77391|22824860.630137995|22078181.487304922
256|72729366015.77391|25674476.83855819|24828404.787825823
256|72729366015.77391|28879859.185615648|27921216.457920857
256|72729366015.77391|32485424.019394707|31399291.86542782
256|72729366015.77391|36541132.93740847|35310622.34096018
256|72729366015.77391|41103185.094556466|39709177.37396183
256|72729366015.77391|46234795.94367908|44655649.29685257
256|72729366015.77391|52007073.19956247|50218290.732595704
256|72729366015.77391|58500002.164453395|56473856.36099422
256|72729366015.77391|65803554.06854475|63508661.9984355
256|72729366015.77391|74018932.7834858|71419775.60452467
256|72729366015.77391|83259977.18438016|80316356.64940609
256|72729366015.77391|93654738.59252138|90321162.32268777
256|72729366015.77391|105347255.15718262|101572241.3670091
256|72729366015.77391|118499547.763711|114224838.90817533
256|72729366015.77391|133293865.12483437|128453538.5651716
256|72729366015.77391|149935209.16496378|144454671.39741018
256|72729366015.77391|168654175.69124275|162449024.92845204
256|72729366015.77391|189710149.7139557|182684889.62596816
256|72729366015.77391|213394899.69322574|205441484.8740189
256|72729366015.77391|240036620.516755|231032811.7100419
256|72729366015.77391|270004481.2313577|259811985.487557
256|72729366015.77391|303713740.54529643|292176108.24771965
256|72729366015.77391|341631500.9859273|328571748.0298923
256|72729366015.77391|384283181.44686717|369501100.7260891
256|72729366015.77391|432259797.81350654|415528919.5020724
256|72729366015.77391|486226152.55302835|467290307.3989234
256|72729366015.77391|546930046.7504761|525499480.6393114
256|72729366015.77391|615212642.2402254|590959623.556688
256|72729366015.77391|692020117.4188592|664573971.1281179
256|72729366015.77391|778416778.2517415|747358272.0302334
256|72729366015.77391|875599806.1498945|840454804.1865765
256|72729366015.77391|984915847.0756224|945148136.1962922
256|72729366015.77391|1107879671.7487857|1062882852.124161
256|72729366015.77391|1246195165.5245404|1195283484.2229636
256|72729366015.77391|1401778938.795107|1344176928.62472
256|72729366015.77391|1576786885.0802276|1511617653.2979689
256|72729366015.77391|1773644054.8165152|1699916046.0965905
256|72729366015.77391|1995078258.8008664|1911670294.0535078
256|72729366015.77391|2244157866.924203|2149802233.797436
256|72729366015.77391|2524334325.9651|2417597667.7655125
256|72729366015.77391|2839489985.603948|2718751702.5046897
256|72729366015.77391|3193991895.373257|3057419734.6508226
256|72729366015.77391|3592752317.9977283|3438274788.1023397
256|72729366015.77391|4041296797.6455984|3866571993.540889
256|72729366015.77391|4545840726.299347|4348221100.002917
256|72729366015.77391|5113375469.210918|4889868019.034603
256|72729366015.77391|5751765242.864798|5498986526.59618
256|72729366015.77391|6469856087.867657|6183981388.040853
256|72729366015.77391|7277598446.78037|6954304329.111863
256|72729366015.77391|8186185045.428955|7820584453.153631
256|72729366015.77391|9208205988.288828|8794774904.065649
256|72729366015.77391|10357823217.067896|9890317798.689884
256|72729366015.77391|11650966749.926857|11122329704.409172
256|72729366015.77391|13105555420.584576|12507810221.221516
256|72729366015.77391|14741745176.046597|14065876546.356535
256|72729366015.77391|16582208373.569204|15818027258.013521
256|72729366015.77391|18652447947.021767|17788438957.973793
256|72729366015.77391|20981150795.988342|20004299866.23361
256|72729366015.77391|23600585294.451397|22496184970.678032
256|72729366015.77391|26547048427.25656|25298477908.202034
256|72729366015.77391|29861368750.24|28449845398.497185
256|72729366015.77391|33589472143.43721|31993770776.856865
256|72729366015.77391|37783018196.90271|35979153987.814896
256|72729366015.77391|42500116047.41457|40460986318.477036
256|72729366015.77391|47806129585.268936|45501109181.67839
256|72729366015.77391|53774583188.7571|51169067418.842545
256|72729366015.77391|60488180536.90781|57543068896.62229
256|72729366015.77391|68039950617.98138|64711063638.070274
256|72729366015.77391|76534536813.72685|72771957378.45277
256|72729366015.77391|86089646921.99088|81836976290.64761
256|72729366015.77391|96837684210.34952|92031201710.93593
256|72729366015.77391|108927582101.9538|103495296041.70998
256|72729366015.77391|122526867916.46544|116387443645.5216
256|72729366015.77391|137823984262.93246|130885533511.39973
256|72729366015.77391|155030900251.68594|147189613810.3976
256|72729366015.77391|174386048708.30353|165524652208.92462
256|72729366015.77391|196157630090.0317|186143640027.33734
256|72729366015.77391|220647328886.3837|209331083075.72644
256|72729366015.77391|248194494001.33072|235406927334.2944
256|72729366015.77391|279180841043.8364|264730973645.83273
256|72729366015.77391|314035741685.4139|297707842335.27893
256|72729366015.77391|353242173378.3052|334792556259.3966
256|72729366015.77391|397343411878.34406|376496819322.8507
256|72729366015.77391|446950559309.46173|423396077093.1711
256|72729366015.77391|502751012084.73865|476137456938.687
256|72729366015.77391|565517986022.3037|535448697249.3883
256|72729366015.77391|636121230643.7258|602148188948.2738
256|72729366015.77391|715539081120.8062|677156267848.4045
256|72729366015.77391|804872014872.2135|761507913670.3508
256|72729366015.77391|905357900661.0348|856367030944.1704
256|72729366015.77391|1018389151496.949|963042508847.2501
256|72729366015.77391|1145532019027.4358|1083006281575.6268
256|72729366015.77391|1288548296776.5144|1217913638450.0989
256|72729366015.77391|1449419732968.5383|1369626064000.9756
256|72729366015.77391|1630375491220.6865|1540236923184.4875
256|72729366015.77391|1833923039621.535|1732100346141.724
256|72729366015.77391|2062882896219.5427|1947863711059.0315
256|72729366015.77391|2320427712382.811|2190504173336.2803
256|72729366015.77391|2610126235600.477|2463369745101.352
256|72729366015.77391|2935992760909.583|2770225491895.983
256|72729366015.77391|3302542756186.033|3115305483966.0693
256|72729366015.77391|3714855432088.2837|3503371218992.983
256|72729366015.77391|4178644123673.0835|3939777322396.972
256|72729366015.77391|4700335458947.294|4430545431761.299
256|72729366015.77391|5287158411378.928|4982447284852.67
256|72729366015.77391|5947244470350.132|5603098157706.287
256|72729366015.77391|6689740317594.447|6301061942057.24
256|72729366015.77391|7524934570953.315|7085969312002.084
256|72729366015.77391|8464400351714.988|7968650610382.963
256|72729366015.77391|9521155651063.174|8961285288492.947
256|72729366015.77391|10709843717801.576|10077569961107.98
256|72729366015.77391|12046935966951.229|11332907395709.662
256|72729366015.77391|13550960220884.89|12744619043618.127
256|72729366015.77391|15242757445690.684|14332184045591.312
256|72729366015.77391|17145770540309.846|16117508009748.01
256|72729366015.77391|19286369180142.67|18125225270477.953
256|72729366015.77391|21694215216415.27|20383038798980.39
256|72729366015.77391|24402673694575.734|22922102455600.777
256|72729366015.77391|27449275187117.684|25777450858374.566
256|72729366015.77391|30876235847287.32|28988482799210.14
256|72729366015.77391|34731042389954.504|32599504878004.47
512|18820860264.76477|2.0|2.0
512|18820860264.76477|2.2207384741463|2.2206303557067613
512|18820860264.76477|2.452889942695778|2.4526603858215013
512|18820860264.76477|2.6971819863356252|2.6968164605660276
512|18820860264.76477|2.9543854532440634|2.9538681198893846
512|18820860264.76477|3.225317089378421|3.224630696361427
512|18820860264.76477|3.5108423275333385|3.5099680962997684
512|18820860264.76477|3.8118782447746176|3.8107957486976978
512|18820860264.76477|4.129396698434862|4.128083732098762
512|18820860264.76477|4.464427651472923|4.462860090176721
512|18820860264.76477|4.8180626986522235|4.816214347429657
512|18820860264.76477|5.191458805685505|5.189301237086369
512|18820860264.76477|5.58584227422808|5.583344654054217
512|18820860264.76477|6.002512946380384|5.99964184651275
512|18820860264.76477|6.44284866318665|6.4395678605795155
512|18820860264.76477|6.908309992492309|6.90458025334617
512|18820860264.76477|7.400445242451616|7.396224090507402
512|18820860264.76477|7.920895777961966|7.916137245785455
512|18820860264.76477|8.471401658345904|8.466056020392562
512|18820860264.76477|9.053807615709582|9.047821101875899
512|18820860264.76477|9.670069394581109|9.66338388285866
512|18820860264.76477|10.322260474677904|10.314813161430417
512|18820860264.76477|11.012579199973336|11.004302246254419
512|18820860264.76477|11.743356338633763|11.734176490853498
512|18820860264.76477|12.517063099882739|12.506901283014331
512|18820860264.76477|13.336319635424694|13.325090516817417
512|18820860264.76477|14.203904054731083|14.1915155764623
512|18820860264.76477|15.122761985263782|15.109114862820327
512|18820860264.76477|16.096016710589378|16.081003895516382
512|18820860264.76477|17.126979921330527|17.1104860253233
512|18820860264.76477|18.2191631160136|18.201063793754564
512|18820860264.76477|19.376289691112497|19.356450978969917
512|18820860264.76477|20.602307761964738|20.580585369472267
512|18820860264.76477|21.901403758756025|21.877642309580686
